epoch, iter, tr_loss, cv_loss
102, 2001, 73.2913, 95.8328
103, 2001, 73.2644, 95.1956
104, 2001, 72.9729, 94.2909
1, 2001, -9.9978, -11.2834
105, 2001, 72.9256, 95.4906
2, 2001, -12.2239, -12.4832
3, 2001, -12.7879, -12.9173
106, 2001, 72.9938, 99.2177
4, 2001, -13.1947, -13.1436
107, 2001, 73.0727, 95.9134
5, 2001, -13.4977, -13.3737
108, 2001, 72.6342, 98.5783
6, 2001, -13.7461, -13.7856
7, 2001, -13.9030, -13.7707
109, 2001, 72.6503, 95.1892
8, 2001, -14.0691, -13.2247
110, 2001, 72.7739, 95.3846
9, 2001, -14.2008, -14.1193
111, 2001, 72.3537, 98.7116
10, 2001, -14.2945, -14.3717
11, 2001, -14.3990, -14.3186
112, 2001, 72.2786, 97.5768
12, 2001, -14.4838, -14.4521
113, 2001, 72.3378, 94.9385
13, 2001, -14.5707, -14.5448
114, 2001, 72.3424, 97.0786
